id,text_id,bunsetsu,text,value
38,33,昭和５２年１２月から,昭和５２年１２月,19771200
39,33,平成１２年６月まで,平成１２年６月,20000600
40,39,製造方法出願日平成１１年６月１６日,平成１１年６月１６日,19990616
41,39,登録日平成１９年９月２８日,平成１９年９月２８日,20070928
42,49,平成１３年１１月頃から，,平成１３年１１月,20011100
43,90,平成１１年頃，,平成１１年,19990000
44,99,平成１１年５月１０日頃，,平成１１年５月１０日,19990510
45,106,昭和６０年３月１４日より,昭和６０年３月１４日,19850314
46,111,昭和６０年３月１４日までに,昭和６０年３月１４日,19850314
47,124,昭和６１年６，７月に,昭和６１年,19860000
48,129,昭和６１年９月３０日までには，,昭和６１年９月３０日,19860930
49,130,平成７年に,平成７年,19950000
50,133,平成１１年４月以前には，,平成１１年４月,19990400
51,135,昭和４７年１２月２３日の,昭和４７年１２月２３日,19721223
52,136,昭和５２年１２月から,昭和５２年１２月,19771200
53,136,平成１２年６月まで,平成１２年６月,20000600
54,137,平成９年３月より,平成９年３月,19970300
55,143,平成１０年頃，,平成１０年,19980000
56,146,平成１１年中の,平成１１年,19990000
57,146,平成１１年４月に,平成１１年４月,19990400
58,148,同年５月１７日頃，,同年５月１７日,19990517
59,154,昭和６０年３月１４日までに，,昭和６０年３月１４日,19850314
60,157,昭和６０年３月１４日までには,昭和６０年３月１４日,19850314
61,157,昭和６１年９月３０日までには,昭和６１年９月３０日,19860930
62,172,平成１２年１０月，,平成１２年１０月,20001000
63,185,最二小判昭和６１年１０月３日の,昭和６１年１０月３日,19861003
64,357,昭和５２年１２月から,昭和５２年１２月,19771200
65,357,平成１２年６月まで,平成１２年６月,20000600
66,376,平成１７年４月１２日，,平成１７年４月１２日,20050412
67,376,同年６月１日には,同年６月１日,20050601
68,378,平成２７年２月１２日の,平成２７年２月１２日,20150212
69,378,同年３月２４日，,同年３月２４日,20150324
70,378,同年５月２２日付け回答書を,同年５月２２日,20150522
71,380,平成１７年６月１日，,平成１７年６月１日,20050601
72,381,平成２７年２月１２日の,平成２７年２月１２日,20150212
73,381,同年３月２４日，,同年３月２４日,20150324
74,407,平成２８年６月１３日以降に,平成２８年６月１３日,20160613
75,466,昭和４７年１２月，,昭和４７年１２月,19721200
76,468,平成１２年に,平成１２年,20000000
77,469,昭和５２年１２月，,昭和５２年１２月,19771200
78,470,昭和５９年５月，,昭和５９年５月,19840500
79,472,昭和６０年３月頃までに,昭和６０年３月,19850300
80,475,昭和６１年頃，加工された,昭和６１年,19860000
81,475,昭和６２年から,昭和６２年,19870000
82,475,昭和６３年にかけて，,昭和６３年,19880000
83,476,平成３年３月までには,平成３年３月,19910300
84,480,平成１０年頃，,平成１０年,19980000
85,483,平成１１年４月に,平成１１年４月,19990400
86,484,同年５月１７日頃，,同年５月１７日,19990517
87,485,平成１１年５月，,平成１１年５月,19990500
88,486,同年６月，,同年６月,19990600
89,490,平成１８年１２月４日付け手続補正書により，,平成１８年１２月４日,20061204
90,491,平成１９年５月２３日付け手続補正書により,平成１９年５月２３日,20070523
91,493,平成１２年３月，,平成１２年３月,20000300
92,495,平成２７年２月１０日付け依頼書により，,平成２７年２月１０日,20150210
93,497,同年３月２３日付け回答書により，,同年３月２３日,20150323
94,499,平成２７年１１月１０日，,平成２７年１１月１０日,20151110
95,512,平成１１年当時，,平成１１年,19990000
96,568,昭和６１年７月１４日付けカム線図，,昭和６１年７月１４日,19860714
97,568,同年８月８日付け設計図及び,同年８月８日,19860808
98,568,同月７日付け設計図を,同月７日,807
99,596,昭和６１年当時に,昭和６１年,19860000
